resource_unique_name	resource_featured_image_URI	resource_featured_image_alt	resource_source	resource_description	resource_subject	resource_tags	file_URI	file_format	file_displayName	file_type	file_license	file_accommodations	file_language	file_length_minutes
6-Carbon							./Library Lyna/6-Carbon-alt.txt	TXT	Carbon Description	Text		Visual Description	en	
Fusion	./APH TGIL/Other APH TGIL files/fusion.jpg	Braille labelled image showing the effects of fusion as two particles collide and multiple other particles break off and collide with other particles.	APH	"In nuclear physics, nuclear fusion is a nuclear reaction in which two or more atomic nuclei come close enough to form one or more different atomic nuclei and subatomic particles (neutrons and/or protons). The difference in mass between the products and reactants is manifested as the release of large amounts of energy. This difference in mass arises due to the difference in atomic ""binding energy"" between the atomic nuclei before and after the reaction. Fusion is the process that powers active or ""main sequence"" stars, or other high magnitude stars."	Physics	"energy, reaction"	./APH TGIL/fusion.zip	ZIP						
Fusion							./APH TGIL/fusion.pdf	PDF	Fusion	Image		Visual Labels	en	
Fusion							./APH TGIL/fusion-alt.txt	TXT	Fusion	Text		Visual Description	en	
Eyeball	./APH TGIL/eyeball.jpg	"Braille labelled sketch of an eye with the pupil, lens, iris, cornea, optic nerve, shows how an image is inverted at the back of the retina."	APH	Braille labelled diagram showing the parts of an eye.	Anatomy	"anatomy, human, eye, eyeball"	./APH TGIL/eyeball.zip	ZIP						
Eyeball							./APH TGIL/eyeball.pdf	PDF	Eyeball	Image		Visual Labels	en	
Eyeball							./APH TGIL/eyeball-alt.txt	TXT	Eyeball	Text		Visual Description	en	
"Frog Dissection, 2D"	"./Centeral Access/Summer 2018/Frog dissection/image/Frog Dissection (print, color, labels).jpg"	"Frog Dissection View of Stomach - Outline of a frog with the Tongue, Mouth, Liver, Pancreas, Small intestine, Large intestine, and Stomach all labelled."	Central Access	Various images and tactiles available with and without English and Braille Labels of a 2D model of the anatomy of a frog.	Anatomy	"animal, frog"	"./Centeral Access/Summer 2018/Frog dissection/PDF/Frog Dissection (print, color, labels).zip"	ZIP						
"Frog Dissection, 2D"							"./Centeral Access/Summer 2018/Frog dissection/PDF/Frog Dissection (print, color, labels).pdf"	PDF	"Frog Dissection (print, color, labels)"	Image	CC: BY-SA	Visual Labels	en	
"Frog Dissection, 2D"							"./Centeral Access/Summer 2018/Frog dissection/image/Frog Dissection (print, color, labels)-alt.txt"	TXT	"Frog Dissection (print, color, labels)-alt"	Text		Visual Description	en	
"Frog Dissection, 2D"							"./Centeral Access/Summer 2018/Frog dissection/image/Frog Dissection (print, color, labels)-simplified.txt"	TXT	"Frog Dissection (print, color, labels)-simplified"	Text		Visual Description Simplified	en	
"Frog Dissection, 2D"							"./Centeral Access/Summer 2018/Frog dissection/image/Frog Dissection (print, color, labels)-extended.txt"	TXT	"Frog Dissection (print, color, labels)-extended"	Text		Visual Description Extended	en	
"Frog Dissection, 2D"							"./Centeral Access/Summer 2018/Frog dissection/PDF/Frog Dissection (print, color, no labels).pdf"	PDF	"Frog Dissection (print, color, no labels)"	Image		Visual	en	
"Frog Dissection, 2D"							"./Centeral Access/Summer 2018/Frog dissection/image/Frog Dissection (print, color, no labels)-alt.txt"	TXT	"Frog Dissection (print, color, no labels)-alt"	Text		Visual Description	en	
"Frog Dissection, 2D"							"./Centeral Access/Summer 2018/Frog dissection/image/Frog Dissection (print, color, no labels)-simplified.txt"	TXT	"Frog Dissection (print, color, no labels)-simplified"	Text		Visual Description Simplified	en	
"Frog Dissection, 2D"							"./Centeral Access/Summer 2018/Frog dissection/image/Frog Dissection (print, color, no labels)-extended.txt"	TXT	"Frog Dissection (print, color, no labels)-extended"	Text		Visual Description Extended	en	
"Frog Dissection, 2D"							"./Centeral Access/Summer 2018/Frog dissection/PDF/Frog Dissection (braille, labels).pdf"	PDF	"Frog Dissection (braille, labels)"	Image		Visual Labels	en	
"Frog Dissection, 2D"							"./Centeral Access/Summer 2018/Frog dissection/image/Frog Dissection (braille, labels)-production-notes.txt"	TXT	"Frog Dissection (braille, labels)-production-notes"	Text			en	
"Frog Dissection, 2D"							"./Centeral Access/Summer 2018/Frog dissection/image/Frog Dissection (braille, labels)-alt.txt"	TXT	"Frog Dissection (braille, labels)-alt"	Text		Visual Description	en	
"Frog Dissection, 2D"							"./Centeral Access/Summer 2018/Frog dissection/image/Frog Dissection (braille, labels)-simplified.txt"	TXT	"Frog Dissection (braille, labels)-simplified"	Text		Visual Description Simplified	en	
"Frog Dissection, 2D"							"./Centeral Access/Summer 2018/Frog dissection/image/Frog Dissection (braille, labels)-extended.txt"	TXT	"Frog Dissection (braille, labels)-extended"	Text		Visual Description Extended	en	
"Frog Dissection, 2D"							"./Centeral Access/Summer 2018/Frog dissection/PDF/Frog Dissection (braille, no labels).pdf"	PDF	"Frog Dissection (braille, no labels)"	Image		Visual	en	
"Frog Dissection, 2D"							"./Centeral Access/Summer 2018/Frog dissection/image/Frog Dissection (braille, no labels)-production-notes.txt"	TXT	"Frog Dissection (braille, no labels)-production-notes"	Text			en	
"Frog Dissection, 2D"							"./Centeral Access/Summer 2018/Frog dissection/image/Frog Dissection (braille, no labels)-alt.txt"	TXT	"Frog Dissection (braille, no labels)-alt"	Text		Visual Description	en	
"Frog Dissection, 2D"							"./Centeral Access/Summer 2018/Frog dissection/image/Frog Dissection (braille, no labels)-simplified.txt"	TXT	"Frog Dissection (braille, no labels)-simplified"	Text		Visual Description Simplified	en	
"Frog Dissection, 2D"							"./Centeral Access/Summer 2018/Frog dissection/image/Frog Dissection (braille, no labels)-extended.txt"	TXT	"Frog Dissection (braille, no labels)-extended"	Text		Visual Description Extended	en	
"Frog Dissection, 2D"							"./Centeral Access/Summer 2018/Frog dissection/PDF/Frog Dissection (print, grayscale, labels).pdf"	PDF	"Frog Dissection (print, grayscale, labels)"	Image		Visual Labels	en	
"Frog Dissection, 2D"							"./Centeral Access/Summer 2018/Frog dissection/image/Frog Dissection (print, grayscale, labels)-alt.txt"	TXT	"Frog Dissection (print, grayscale, labels)-alt"	Text		Visual Description	en	
"Frog Dissection, 2D"							"./Centeral Access/Summer 2018/Frog dissection/image/Frog Dissection (print, grayscale, labels)-simplified.txt"	TXT	"Frog Dissection (print, grayscale, labels)-simplified"	Text		Visual Description Simplified	en	
"Frog Dissection, 2D"							"./Centeral Access/Summer 2018/Frog dissection/image/Frog Dissection (print, grayscale, labels)-extended.txt"	TXT	"Frog Dissection (print, grayscale, labels)-extended"	Text		Visual Description Extended	en	
"Frog Dissection, 2D"							"./Centeral Access/Summer 2018/Frog dissection/PDF/Frog Dissection (print, grayscale, no labels).pdf"	PDF	"Frog Dissection (print, grayscale, no labels)"	Image		Visual	en	
"Frog Dissection, 2D"							"./Centeral Access/Summer 2018/Frog dissection/image/Frog Dissection (print, grayscale, no labels)-alt.txt"	TXT	"Frog Dissection (print, grayscale, no labels)-alt"	Text		Visual Description	en	
"Frog Dissection, 2D"							"./Centeral Access/Summer 2018/Frog dissection/image/Frog Dissection (print, grayscale, no labels)-simplified.txt"	TXT	"Frog Dissection (print, grayscale, no labels)-simplified"	Text		Visual Description Simplified	en	
"Frog Dissection, 2D"							"./Centeral Access/Summer 2018/Frog dissection/image/Frog Dissection (print, grayscale, no labels)-extended.txt"	TXT	"Frog Dissection (print, grayscale, no labels)-extended"	Text		Visual Description Extended	en	
"Frog Dissection, 2D"							"./Centeral Access/Summer 2018/Frog dissection/PDF/Frog Dissection (print, texture, labels).pdf"	PDF	"Frog Dissection (print, texture, labels)"	Image		Visual Labels	en	
"Frog Dissection, 2D"							"./Centeral Access/Summer 2018/Frog dissection/image/Frog Dissection (print, texture, labels)-production-notes.txt"	TXT	"Frog Dissection (print, texture, labels)-production-notes"	Text			en	
"Frog Dissection, 2D"							"./Centeral Access/Summer 2018/Frog dissection/image/Frog Dissection (print, texture, labels)-alt.txt"	TXT	"Frog Dissection (print, texture, labels)-alt"	Text		Visual Description	en	
"Frog Dissection, 2D"							"./Centeral Access/Summer 2018/Frog dissection/image/Frog Dissection (print, texture, labels)-simplified.txt"	TXT	"Frog Dissection (print, texture, labels)-simplified"	Text		Visual Description Simplified	en	
"Frog Dissection, 2D"							"./Centeral Access/Summer 2018/Frog dissection/image/Frog Dissection (print, texture, labels)-extended.txt"	TXT	"Frog Dissection (print, texture, labels)-extended"	Text		Visual Description Extended	en	
"Frog Dissection, 2D"							"./Centeral Access/Summer 2018/Frog dissection/PDF/Frog Dissection (print, texture, no labels).pdf"	PDF	"Frog Dissection (print, texture, no labels)"	Image		Visual	en	
"Frog Dissection, 2D"							"./Centeral Access/Summer 2018/Frog dissection/image/Frog Dissection (print, texture, no labels)-production-notes.txt"	TXT	"Frog Dissection (print, texture, no labels)-production-notes"	Text			en	
"Frog Dissection, 2D"							"./Centeral Access/Summer 2018/Frog dissection/image/Frog Dissection (print, texture, no labels)-alt.txt"	TXT	"Frog Dissection (print, texture, no labels)-alt"	Text		Visual Description	en	
"Frog Dissection, 2D"							"./Centeral Access/Summer 2018/Frog dissection/image/Frog Dissection (print, texture, no labels)-simplified.txt"	TXT	"Frog Dissection (print, texture, no labels)-simplified"	Text		Visual Description Simplified	en	
"Frog Dissection, 2D"							"./Centeral Access/Summer 2018/Frog dissection/image/Frog Dissection (print, texture, no labels)-extended.txt"	TXT	"Frog Dissection (print, texture, no labels)-extended"	Text		Visual Description Extended	en	
"Frog Dissection, 2D"							"./Centeral Access/Summer 2018/Frog dissection/Illustrator/Frog Dissection (print, color, labels).ai"	AI	"Frog Dissection (print, color, labels)"	Tactile Graphic		Tactile Graphic with Text	en	
"Frog Dissection, 2D"							"./Centeral Access/Summer 2018/Frog dissection/Illustrator/Frog Dissection (print, color, no labels).ai"	AI	"Frog Dissection (print, color, no labels)"	Tactile Graphic		Tactile Graphic with Text	en	
"Frog Dissection, 2D"							"./Centeral Access/Summer 2018/Frog dissection/Illustrator/Frog Dissection (braille, labels).ai"	AI	"Frog Dissection (braille, labels)"	Tactile Graphic		Tactile Graphic with braille	en	
"Frog Dissection, 2D"							"./Centeral Access/Summer 2018/Frog dissection/Illustrator/Frog Dissection (braille, no labels).ai"	AI	"Frog Dissection (braille, no labels)"	Tactile Graphic		Tactile Graphic with braille	en	
"Frog Dissection, 2D"							"./Centeral Access/Summer 2018/Frog dissection/Illustrator/Frog Dissection (print, texture, labels).ai"	AI	"Frog Dissection (print, texture, labels)"	Tactile Graphic		Tactile Graphic with Text	en	
"Frog Dissection, 2D"							"./Centeral Access/Summer 2018/Frog dissection/Illustrator/Frog Dissection (print, texture, no labels).ai"	AI	"Frog Dissection (print, texture, no labels)"	Tactile Graphic		Tactile Graphic with Text	en	
T-Rex	./Thingiverse/T-Rex/The_T-Rex_Skull/images/The_T-Rex_Skull_featured.jpg	3D model of Dinosaur skull of Tyrannosaurus Rex.	Thingyverse	3D Model Dinosaur T-Rex Skull and Base.	paleontology	"Dinasaur, Skull, archaeology"	./Thingiverse/T-Rex/The_T-Rex_Skull.zip	ZIP						
T-Rex							./Thingiverse/T-Rex/The_T-Rex_Skull/files/T-ReSkull_Rod.stl	STL	T-Rex Rod	3D Model	CC: BY-SA	Tactile Model	en	
T-Rex							./Thingiverse/T-Rex/The_T-Rex_Skull/files/T-RexSkull_Base.stl	STL	T-Rex Base	3D Model	CC: BY-SA	Tactile Model	en	
T-Rex							./Thingiverse/T-Rex/The_T-Rex_Skull/files/T-ReSkull_Jaw.stl	STL	T-Rex Jaw	3D Model	CC: BY-SA	Tactile Model	en	
T-Rex							./Thingiverse/T-Rex/The_T-Rex_Skull/files/T-ReSkull_Skull.stl	STL	T-Rex Skull	3D Model	CC: BY-SA	Tactile Model	en	
T-Rex							./Thingiverse/T-Rex/The_T-Rex_Skull/images/IMG_9100_preview_featured-alt.txt	TXT	T-Rex Skull Description	Text		Visual Description	en	
T-Rex							./Thingiverse/T-Rex/The_T-Rex_Skull/images/IMG_9100_preview_featured-simplified.txt	TXT	T-Rex Skull Simplified	Text		Visual Description Simplified	en	
T-Rex							./Thingiverse/T-Rex/The_T-Rex_Skull/images/IMG_9100_preview_featured-extended.txt	TXT	T-Rex Skull Extended	Text		Visual Description Extended	en	
Fittle Fish	./Thingiverse/Fittle Fish/fittle fish.jpg	3D puzzle of a fish with the word fish written on it in braille.	Thingyverse	"Fittle is an accessible learning toolset for visually challenged kids, in the form of a playful puzzle. By feeling braille letters embossed on the word blocks, and then feeling the shape that s/he has fit together, the kid can touch what the object might feel like in real."	animals	braille education fish fit fittle interaction playful primary puzzle	./Thingiverse/Fittle Fish/fittle fish.zip	ZIP						
Fittle Fish							./Thingiverse/Fittle Fish/1.stl	STL	fittle fish Head-f	3D Model	GNU	Tactile Model	en	
Fittle Fish							./Thingiverse/Fittle Fish/2.stl	STL	fittle fish Middle-i	3D Model	GNU	Tactile Model	en	
Fittle Fish							./Thingiverse/Fittle Fish/3.stl	STL	fittle fish Middle-s	3D Model	GNU	Tactile Model	en	
Fittle Fish							./Thingiverse/Fittle Fish/4.stl	STL	fittle fish Tail-h	3D Model	GNU	Tactile Model	en	
Fittle Fish							./Thingiverse/Fittle Fish/fittle fish-alt.txt	TXT	fittle fish-alt	Text		Visual Description	en	
Fittle Fish							./Thingiverse/Fittle Fish/fittle fish-simplified.txt	TXT	fittle fish-simplified	Text		Visual Description Simplified	en	
Fittle Fish							./Thingiverse/Fittle Fish/fittle fish-production-notes.txt	TXT	fittle fish-production-notes	Text			en	
Waves	https://dcmp.org/posterimages/3559_1.jpg	"Photo: medium sized boat on a choppy lake with caption ""Light waves and waves are both transverse""."	DCMP	Everyday examples and laboratory experiments explain and demonstrate the concept of waves as they relate to physics. Three segments cover the characteristics of transverse and longitudinal waves and the reflection and refraction of waves. Complex physics is made clearer by the lab demonstrations.	physics	"light waves, water waves"								
Waves							https://dcmp.org/media/3559?ref=imgshr	MP3	Waves	Video	DCMP membership	"Audio Description, Captions"	en	15
Deep Sea Dive: Lakes in an Ocean	https://dcmp.org/posterimages/11578_1.jpg	"Collage of 3 photos showing lakes and rivers under the ocean with the caption ""They're very similar to lakes and rivers on land."""	DCMP	"The seafloor has a diverse landscape, which includes underwater lakes and rivers. How is that possible? Well, these lakes and rivers form when seawater seeps up through thick layers of salt, which are present beneath the seafloor. As the water seeps up, it dissolves the salt layer, causing it to collapse and form depressions. The dissolved salt makes the water denser, and because it is denser than the water around it, it will settle into the depressions, forming a river or lake. Part of the “Deep Sea Dive” series."	Geography	"underwater, lakes, rivers"								
Deep Sea Dive: Lakes in an Ocean							https://dcmp.org/media/11578?ref=imgshr	MP3	Lakes in an Ocean	Video	DCMP membership	"Audio Description, Captions"	en	2
